Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency,Policy,x0_dislike,x0_highly_dislike,x0_highly_like,x0_like,x0_neutral,x1_ dislike,x1_ highly_dislike,x1_ highly_like,x1_ like,x1_ neutral,x2_ dislike,x2_ highly_dislike,x2_ highly_like,x2_ like,x2_ neutral,x3_ dislike,x3_ highly_dislike,x3_ highly_like,x3_ like,x3_ neutral,x4_ dislike,x4_ highly_dislike,x4_ highly_like,x4_ like,x4_ neutral,x5_ dislike,x5_ highly_dislike,x5_ highly_like,x5_ like,x5_ neutral,x6_ dislike,x6_ highly_dislike,x6_ highly_like,x6_ like,x6_ neutral,x7_ dislike,x7_ highly_dislike,x7_ highly_like,x7_ like,x7_ neutral
2025-05-11 14:49:56,0.9400891101752747,-1.4600832687278635,-0.6025843852244805,-2.5289620363439202,0.17965150848773362,LRU,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-05-11 14:49:56,0.9400891101752747,-1.425488238074437,-0.6025843852244805,-2.5289620363439202,0.6735305680988287,LRU,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-05-11 14:49:56,0.9400891101752747,-1.3908932074210105,-2.1593626456309276,-2.5289620363439202,0.18148995908826207,LRU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-05-11 14:49:56,0.9400891101752747,-1.3649469344309406,-2.1593626456309276,-2.5289620363439202,0.30043235736885465,LRU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-05-11 14:49:56,-1.2982182950039511,-1.339000661440871,-2.1593626456309276,-2.5289620363439202,0.2035350947293374,LRU,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-05-11 14:49:56,0.9400891101752747,-1.313054388450801,-2.1593626456309276,-1.2675949651380143,0.2792547161500526,LRU,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-05-11 14:49:56,-0.17906459241433823,-1.2784593577973746,-2.1593626456309276,-1.3593307521348075,0.12074542974609707,LRU,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-11 14:49:56,0.9400891101752747,-1.243864327143948,-2.1593626456309276,-1.4386277883523741,0.37314252915582574,LRU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-05-11 14:49:56,0.9400891101752747,-1.2092692964905216,-2.1593626456309276,-1.5078553596534245,0.19358358638314993,LRU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-05-11 14:49:56,-0.17906459241433823,-1.1746742658370952,-2.1593626456309276,-1.5688169522916633,0.10077865218549707,LRU,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-05-11 14:49:56,-0.17906459241433823,-1.157376750510382,0.06460629780686315,-1.596647244583033,-0.09824046096310625,LRU,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-05-11 14:49:56,-2.4173719975935644,-1.1227817198569554,0.06460629780686315,-1.6477329865973285,0.17530902541878987,LRU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-05-11 14:49:56,0.9400891101752747,-1.088186689203529,0.06460629780686315,-1.6935111190516967,-0.02874543644339831,LRU,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-11 14:49:56,0.9400891101752747,-1.0535916585501026,0.06460629780686315,-1.734767954473535,0.18298802507558887,LRU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-11 14:49:56,-0.17906459241433823,-1.0276453855600327,0.06460629780686315,-1.7631320288260488,-0.24718596774678317,LRU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-05-11 14:49:56,0.9400891101752747,-0.9930503549066063,0.06460629780686315,-1.7979424837132245,-0.12509243232353448,LRU,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-05-11 14:49:56,-0.17906459241433823,-0.9757528395798931,0.06460629780686315,-1.0994126889772264,0.028951834573261434,LRU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
