Iteration,Policy,Content_Request,Router,Cache_Occupancy,CMBA_Score,Latency,Cache_Hit_Ratio,Manual_Score,Net_Performance,Closeness_Centrality,Degree_Centrality,Betweenness_Centrality
26,FACR,dog_image8.jpg,Router3,0.0,0.04042735042735043,0.1609618994692383,0.0,-14.027654354489068,-14.027654354489068,0.0962962962962963,0.038461538461538464,0.0
26,FACR,dog_image8.jpg,Router6,0.0,0.0856828885400314,0.09350453917861279,0.0,4.194351861547744,4.194351861547744,0.10612244897959183,0.07692307692307693,0.07692307692307693
26,FACR,dog_image8.jpg,Router9,0.0,0.1172889812889813,0.18138155720342017,0.0,-16.826719862185602,-16.826719862185602,0.11711711711711711,0.07692307692307693,0.14769230769230768
26,FACR,dog_image8.jpg,Router12,0.0,0.14680597014925373,0.1918126941198142,0.0,-18.548994425475932,-18.548994425475932,0.12935323383084577,0.07692307692307693,0.2123076923076923
26,FACR,dog_image8.jpg,Router15,0.0,0.17424175824175822,0.1603517117610491,0.0,-9.860675193009529,-9.860675193009529,0.14285714285714285,0.07692307692307693,0.27076923076923076
26,FACR,dog_image8.jpg,Router18,0.0,0.19958041958041958,0.15998088983688188,0.0,-9.007809871807885,-9.007809871807885,0.15757575757575756,0.07692307692307693,0.3230769230769231
26,FACR,dog_image8.jpg,Router21,0.0,0.22276923076923077,0.1746600555068016,0.0,-11.981936953623476,-11.981936953623476,0.17333333333333334,0.07692307692307693,0.36923076923076925
26,FACR,dog_image8.jpg,Router24,0.0,0.24370353733857383,0.10934486015020804,0.0,4.974891082605203,4.974891082605203,0.1897810218978102,0.07692307692307693,0.40923076923076923
26,FACR,dog_image8.jpg,Router27,100.0,0.37344322344322345,0.042736283020621414,7.6923076923076925,47.44230287121827,47.44230287121827,0.20634920634920634,0.11538461538461539,0.6923076923076923
26,FACR,dog_image8.jpg,PATH_AVERAGE,11.11111111111111,0.17821592886431362,0.14163716558296083,0.8547008547008548,-2.626916093913364,-2.626916093913364,0.14653172869301126,0.07692307692307693,0.27794871794871795
