Iteration,Policy,Content_Request,Router,Cache_Occupancy,CMBA_Score,Latency,Cache_Hit_Ratio,Manual_Score,Net_Performance,Closeness_Centrality,Degree_Centrality,Betweenness_Centrality
6,Rdm,cat_image3.jpg,Router5,0.0,0.08455481526347669,0.09054216794369101,0.0,4.901102471981547,4.901102471981547,0.10236220472440945,0.07692307692307693,0.07692307692307693
6,Rdm,cat_image3.jpg,Router8,0.0,0.11592007992007992,0.17282584281019142,0.0,-14.728858304945462,-14.728858304945462,0.11255411255411256,0.07692307692307693,0.14769230769230768
6,Rdm,cat_image3.jpg,Router11,0.0,0.14514285714285716,0.1197108390073323,0.0,-0.5734240375473592,-0.5734240375473592,0.12380952380952381,0.07692307692307693,0.2123076923076923
6,Rdm,cat_image3.jpg,Router14,0.0,0.1722223117196939,0.05116180529677121,0.0,17.376218027398014,17.376218027398014,0.13612565445026178,0.07692307692307693,0.27076923076923076
6,Rdm,cat_image3.jpg,Router17,0.0,0.19713527851458887,0.04858472068215348,0.0,18.767878184899295,18.767878184899295,0.14942528735632185,0.07692307692307693,0.3230769230769231
6,Rdm,cat_image3.jpg,Router20,0.0,0.21982583454281568,0.08610051534943808,0.0,10.06964619892495,10.06964619892495,0.16352201257861634,0.07692307692307693,0.36923076923076925
6,Rdm,cat_image3.jpg,Router23,0.0,0.24019388830347735,0.02507227308194532,0.0,25.93774837861799,25.93774837861799,0.1780821917808219,0.07692307692307693,0.40923076923076923
6,Rdm,cat_image3.jpg,Router26,0.0,0.2580854700854701,0.1489568284017743,0.0,-4.496642997879468,-4.496642997879468,0.1925925925925926,0.07692307692307693,0.4430769230769231
6,Rdm,cat_image3.jpg,Router27,40.0,0.37344322344322345,0.09715954743103793,0.0,19.91340984553722,19.91340984553722,0.20634920634920634,0.11538461538461539,0.6923076923076923
6,Rdm,cat_image3.jpg,PATH_AVERAGE,4.444444444444445,0.20072486210396479,0.09334606000048168,0.0,8.574119751887414,8.574119751887414,0.15164697624398518,0.0811965811965812,0.3271794871794872
