Iteration,Policy,Content_Request,Router,Cache_Occupancy,CMBA_Score,Latency,Cache_Hit_Ratio,Manual_Score,Net_Performance,Closeness_Centrality,Degree_Centrality,Betweenness_Centrality
4,MRU,dog_image24.jpg,Router4,0.0,0.08455481526347669,0.10198816427260983,0.0,2.0396033897518415,2.0396033897518415,0.10236220472440945,0.07692307692307693,0.07692307692307693
4,MRU,dog_image24.jpg,Router7,0.0,0.11592007992007992,0.12311442301514962,0.0,-2.3010033561850056,-2.3010033561850056,0.11255411255411256,0.07692307692307693,0.14769230769230768
4,MRU,dog_image24.jpg,Router10,0.0,0.14514285714285716,0.040024965520595104,0.0,19.34804433413694,19.34804433413694,0.12380952380952381,0.07692307692307693,0.2123076923076923
4,MRU,dog_image24.jpg,Router13,0.0,0.1722223117196939,0.13839379504617136,0.0,-4.431779409952024,-4.431779409952024,0.13612565445026178,0.07692307692307693,0.27076923076923076
4,MRU,dog_image24.jpg,Router16,0.0,0.19713527851458887,0.08779657501283733,0.0,8.964914602228331,8.964914602228331,0.14942528735632185,0.07692307692307693,0.3230769230769231
4,MRU,dog_image24.jpg,Router19,0.0,0.21982583454281568,0.06139992917388127,0.0,16.244792742814152,16.244792742814152,0.16352201257861634,0.07692307692307693,0.36923076923076925
4,MRU,dog_image24.jpg,Router22,0.0,0.24019388830347735,0.17200700078819303,0.0,-10.795933547943939,-10.795933547943939,0.1780821917808219,0.07692307692307693,0.40923076923076923
4,MRU,dog_image24.jpg,Router25,0.0,0.2580854700854701,0.10259695711152449,0.0,7.093324824682981,7.093324824682981,0.1925925925925926,0.07692307692307693,0.4430769230769231
4,MRU,dog_image24.jpg,Router27,26.666666666666668,0.37344322344322345,0.1280948321075833,0.0,9.512922009734211,9.512922009734211,0.20634920634920634,0.11538461538461539,0.6923076923076923
4,MRU,dog_image24.jpg,PATH_AVERAGE,2.9629629629629632,0.20072486210396479,0.1061574046720606,0.0,5.074987287696388,5.074987287696388,0.15164697624398518,0.0811965811965812,0.3271794871794872
