Iteration,Policy,Content_Request,Router,Cache_Occupancy,CMBA_Score,Latency,Cache_Hit_Ratio,Manual_Score,Net_Performance,Closeness_Centrality,Degree_Centrality,Betweenness_Centrality
24,LRU,dog_image4.jpg,Router3,0.0,0.04042735042735043,0.07456133515770505,0.0,7.572486723394252,7.572486723394252,0.0962962962962963,0.038461538461538464,0.0
24,LRU,dog_image4.jpg,Router6,0.0,0.0856828885400314,0.13231859290959141,0.0,-5.509161571196913,-5.509161571196913,0.10612244897959183,0.07692307692307693,0.07692307692307693
24,LRU,dog_image4.jpg,Router9,0.0,0.1172889812889813,0.18012914661518004,0.0,-16.513617215125574,-16.513617215125574,0.11711711711711711,0.07692307692307693,0.14769230769230768
24,LRU,dog_image4.jpg,Router12,0.0,0.14680597014925373,0.1721279505023537,0.0,-13.62780852111081,-13.62780852111081,0.12935323383084577,0.07692307692307693,0.2123076923076923
24,LRU,dog_image4.jpg,Router15,0.0,0.17424175824175822,0.13708327221575897,0.0,-4.043565306686995,-4.043565306686995,0.14285714285714285,0.07692307692307693,0.27076923076923076
24,LRU,dog_image4.jpg,Router18,0.0,0.19958041958041958,0.14680589222129362,0.0,-5.714060467910818,-5.714060467910818,0.15757575757575756,0.07692307692307693,0.3230769230769231
24,LRU,dog_image4.jpg,Router21,0.0,0.22276923076923077,0.1446043251759899,0.0,-4.468004370920548,-4.468004370920548,0.17333333333333334,0.07692307692307693,0.36923076923076925
24,LRU,dog_image4.jpg,Router24,0.0,0.24370353733857383,0.10644231801526308,0.0,5.7005266163414445,5.7005266163414445,0.1897810218978102,0.07692307692307693,0.40923076923076923
24,LRU,dog_image4.jpg,Router27,100.0,0.37344322344322345,0.10817153867381901,16.666666666666664,33.32707870150861,33.32707870150861,0.20634920634920634,0.11538461538461539,0.6923076923076923
24,LRU,dog_image4.jpg,PATH_AVERAGE,11.11111111111111,0.17821592886431362,0.13358270794299498,1.8518518518518516,-0.36401393463414994,-0.36401393463414994,0.14653172869301126,0.07692307692307693,0.27794871794871795
