Iteration,Policy,Content_Request,Router,Cache_Occupancy,CMBA_Score,Latency,Cache_Hit_Ratio,Manual_Score,Net_Performance,Closeness_Centrality,Degree_Centrality,Betweenness_Centrality
32,LFU,dog_image42.jpg,Router4,0.0,0.08455481526347669,0.05835324413652216,0.0,12.94833342377376,12.94833342377376,0.10236220472440945,0.07692307692307693,0.07692307692307693
32,LFU,dog_image42.jpg,Router7,0.0,0.11592007992007992,0.056579930832015735,0.0,14.332619689598463,14.332619689598463,0.11255411255411256,0.07692307692307693,0.14769230769230768
32,LFU,dog_image42.jpg,Router10,0.0,0.14514285714285716,0.07618866774345669,0.0,10.307118778421543,10.307118778421543,0.12380952380952381,0.07692307692307693,0.2123076923076923
32,LFU,dog_image42.jpg,Router13,0.0,0.1722223117196939,0.02079980687948744,0.0,24.966717631718957,24.966717631718957,0.13612565445026178,0.07692307692307693,0.27076923076923076
32,LFU,dog_image42.jpg,Router16,0.0,0.19713527851458887,0.0615603236514237,0.0,15.52397744258174,15.52397744258174,0.14942528735632185,0.07692307692307693,0.3230769230769231
32,LFU,dog_image42.jpg,Router19,0.0,0.21982583454281568,0.031283089290365294,0.0,23.774002713693147,23.774002713693147,0.16352201257861634,0.07692307692307693,0.36923076923076925
32,LFU,dog_image42.jpg,Router22,0.0,0.24019388830347735,0.13313870413977175,0.0,-1.078859385838613,-1.078859385838613,0.1780821917808219,0.07692307692307693,0.40923076923076923
32,LFU,dog_image42.jpg,Router25,0.0,0.2580854700854701,0.11106016616010782,0.0,4.977522562537151,4.977522562537151,0.1925925925925926,0.07692307692307693,0.4430769230769231
32,LFU,dog_image42.jpg,Router27,100.0,0.37344322344322345,0.06051362863376802,3.125,41.8561395448547,41.8561395448547,0.20634920634920634,0.11538461538461539,0.6923076923076923
32,LFU,dog_image42.jpg,PATH_AVERAGE,11.11111111111111,0.20072486210396479,0.06771972905187984,0.3472222222222222,16.400841377926763,16.400841377926763,0.15164697624398518,0.0811965811965812,0.3271794871794872
