Iteration,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency,Feedback Score
0,8,3,0.7,0.0,0.020145470264318822,0
1,8,5,0.75,0.0,0.015313516389008594,0
2,8,8,0.75,0.0,0.009757533420384561,0
3,7,12,0.6999999999999998,0.0,0.006308314368339215,0
4,8,14,0.6999999999999998,0.0,0.0009587134089809054,0
5,7,18,0.675,0.0,0.004006233092266633,0
6,7,21,0.675,0.0,0.0028698278175725627,0
7,8,25,0.675,0.0,0.003958359985848491,0
8,7,27,0.7,0.0,0.0012668581013168798,0
9,8,30,0.6999999999999998,0.0,0.0020229454025462884,0
10,5,33,0.6999999999999998,0.0,0.0006083359458707591,0
11,8,37,0.6999999999999998,0.0,0.0007623667087901682,0
12,7,41,0.6999999999999998,0.0,0.002103268496472329,0
13,7,45,0.6999999999999998,0.0,0.0018267605415045775,0
14,7,47,0.6999999999999998,0.0,0.0006622988763436208,0
15,7,50,0.6999999999999998,2.0,0.0003124940319933529,0
16,6,54,0.6999999999999998,1.8518518518518516,0.00044154355303807266,0
17,7,58,0.6999999999999998,1.7241379310344827,0.0005940473523845566,0
18,8,60,0.6999999999999998,3.3333333333333335,0.00026632982855192357,0
19,7,63,0.7,3.1746031746031744,0.00101493451539683,0
20,6,66,0.7,4.545454545454546,0.0009479599705772946,0
21,7,69,0.7,4.3478260869565215,0.0012408869024954053,0
22,8,73,0.7,4.10958904109589,0.000424753204588879,0
23,8,77,0.6875,3.896103896103896,0.0003096294052470264,0
24,8,81,0.6875,3.7037037037037033,0.0001735066868277648,0
25,8,84,0.6875,3.571428571428571,0.0009860216256875937,0
26,7,86,0.6875,3.488372093023256,0.0009455957724778021,0
27,7,89,0.6875,3.3707865168539324,0.0002863373258363285,0
28,8,91,0.6875,3.296703296703297,0.0007462201786142935,0
29,8,93,0.6875,3.225806451612903,0.00031872634784674156,0
30,6,97,0.6875,3.0927835051546393,0.0005754448172401471,0
31,7,100,0.6875,3.0,0.0007915709974087137,0
32,8,103,0.6875,2.912621359223301,0.00030723319981197596,0
33,7,107,0.6875,2.803738317757009,0.000216741300630199,0
34,8,110,0.6875,2.727272727272727,0.0006047469988096912,0
35,7,113,0.6875,2.6548672566371683,0.0005863932005396319,0
36,8,116,0.6875,3.4482758620689653,0.0007182849401197043,0
37,6,119,0.6875,3.361344537815126,0.00037509229472445105,0
38,7,121,0.6875,3.3057851239669422,0.00011986219639513712,0
39,7,125,0.6875,3.2,0.0005931438281106782,0
40,7,127,0.6875,3.149606299212598,0.0007728026484008263,0
41,7,130,0.6875,3.076923076923077,0.000517465787666777,0
42,6,133,0.6875,3.007518796992481,0.0006636214199223896,0
43,8,135,0.6875,3.7037037037037033,0.000313955391625962,0
44,6,138,0.6875,3.6231884057971016,0.0005272417501660972,0
45,8,142,0.6875,3.5211267605633805,0.0004596810242616213,0
46,6,146,0.6875,3.4246575342465753,0.00036134706006496486,0
47,8,149,0.6875,3.3557046979865772,0.0002198877978802295,0
48,8,153,0.6875,3.2679738562091507,0.0006485625167828565,0
49,8,155,0.6875,3.225806451612903,0.00038592594509692245,0
50,7,157,0.6875,3.821656050955414,0.0003991235752481283,0
51,8,161,0.6875,3.7267080745341614,0.00033112097637331164,0
52,8,164,0.6875,3.6585365853658534,0.0002788254111718982,0
53,8,168,0.6875,4.166666666666666,0.00037095386992493226,0
54,7,172,0.6875,4.069767441860465,0.00011665321127117168,0
55,8,174,0.6875,4.597701149425287,6.674111775578272e-05,0
56,7,177,0.6875,4.519774011299435,0.00016729625671149808,0
57,8,179,0.6875,5.027932960893855,6.325732147860855e-05,0
58,6,183,0.6875,4.918032786885246,0.0001109698699823617,0
59,8,187,0.6875,4.81283422459893,0.00017706030152402237,0
60,6,191,0.6875,4.712041884816754,0.00036211168554041906,0
61,8,194,0.6875,4.639175257731959,0.0003197485135038047,0
62,8,196,0.6875,4.591836734693878,0.0003040129267385815,0
63,5,198,0.6875,5.05050505050505,6.313248572151439e-05,0
64,8,202,0.6875,4.9504950495049505,0.00016002686879440777,0
65,8,206,0.6875,4.854368932038835,0.0003262308459371095,0
66,7,210,0.6875,4.761904761904762,0.0004556503478992065,0
67,8,214,0.6875,4.672897196261682,0.00035457154258379634,0
68,8,216,0.6875,5.092592592592593,0.00032599995814293917,0
69,8,218,0.6875,5.045871559633028,0.00012511830044910604,0
70,5,222,0.6875,4.954954954954955,0.0003179124965498968,0
71,6,226,0.6875,4.867256637168142,8.229170493481892e-05,0
72,6,230,0.6875,4.782608695652174,0.00013414144122460286,0
73,8,232,0.6875,4.741379310344827,0.00014399310578594291,0
74,7,236,0.6875,4.661016949152542,7.500928842904017e-05,0
75,6,239,0.6875,4.602510460251046,0.00011184403401439751,0
76,6,243,0.6875,4.526748971193416,0.0003489633397127704,0
77,8,247,0.6875,4.8582995951417,0.0001332960848257514,0
78,8,250,0.6875,4.8,0.0001260916968559157,0
79,7,252,0.6875,4.761904761904762,0.00020344510520114447,0
80,8,256,0.6875,4.6875,0.000261931850035935,0
81,5,259,0.6875,4.633204633204633,0.00028925973106968617,0
82,7,261,0.6875,4.597701149425287,0.00022617620529204988,0
83,7,264,0.6875,4.545454545454546,6.143703037283629e-05,0
84,7,268,0.6875,4.477611940298507,0.00029204746249607803,0
85,8,271,0.6875,4.428044280442804,0.0001183363389742594,0
86,6,274,0.6875,4.37956204379562,3.762120622087024e-05,0
87,8,278,0.6875,4.676258992805756,9.184009048020844e-05,0
88,7,280,0.6875,4.642857142857143,0.00035231087515390203,0
