Policy,Iteration,Cache Hit Ratio,Latency,Hop Reduction
LRU,1,0.0,0.007935761782919768,0.7037037037037037
LRU,2,0.0,0.0038145111043755278,0.6666666666666667
LRU,3,0.0,0.0004811453517046943,0.6666666666666667
LRU,4,0.0,0.0004847622233090608,0.6666666666666667
LRU,5,0.0,0.0011057005212485468,0.654320987654321
LRU,6,0.0,0.0009115318611671273,0.6666666666666667
LRU,7,0.0,0.0006207855836771201,0.674074074074074
LRU,8,0.0,0.0007987452093772764,0.6851851851851851
LRU,9,0.0,0.0005748245236276506,0.6851851851851851
LRU,10,0.0,0.0002996815422297907,0.6825396825396826
LRU,11,0.0,0.0008826811854037461,0.6898148148148148
LRU,12,0.0,0.0005718323861511625,0.6898148148148148
LRU,13,0.0,0.0004033458323294068,0.6898148148148148
LRU,14,0.0,0.0008074285295229921,0.6954732510288066
LRU,15,0.819672131147541,0.00024330145426278,0.6954732510288066
LRU,16,0.7692307692307693,0.00029647477205229256,0.6954732510288066
LRU,17,1.4388489208633095,0.00026405421881971815,0.6925925925925925
LRU,18,2.054794520547945,0.00014993761940908977,0.6925925925925925
LRU,19,1.9607843137254901,0.0002814718547449213,0.6925925925925925
LRU,20,1.8867924528301887,6.651329489689628e-05,0.7003367003367003
LRU,21,2.380952380952381,0.000228622300571745,0.7003367003367003
LRU,22,2.2857142857142856,0.0003115620342975371,0.7003367003367003
LRU,23,2.1739130434782608,0.0004796906765567637,0.7003367003367003
LRU,24,2.072538860103627,0.00034875682204688817,0.7003367003367003
LRU,25,1.9900497512437811,0.0003976340352438381,0.7003367003367003
LRU,26,1.9047619047619049,4.9215597325705224e-05,0.6975308641975309
LRU,27,1.82648401826484,0.00023235151563700578,0.6975308641975309
LRU,28,1.7467248908296942,0.00032764179739977614,0.6975308641975309
LRU,29,1.694915254237288,0.00019476894366759722,0.6975308641975309
LRU,30,1.6260162601626018,0.00016360240976296737,0.6975308641975309
LRU,31,1.5686274509803921,0.00021300629835524108,0.6975308641975309
LRU,32,1.509433962264151,0.00013340589498514178,0.6975308641975309
LRU,33,1.4705882352941175,0.00036086676290199575,0.6975308641975309
LRU,34,1.7857142857142856,0.00031113108890741146,0.6975308641975309
LRU,35,1.7301038062283738,0.00019886932920723028,0.6975308641975309
LFU,1,0.0,0.011252616685898411,0.7037037037037037
LFU,2,0.0,0.0017931779228209487,0.7222222222222222
LFU,3,0.0,0.002022433445672786,0.691358024691358
LFU,4,0.0,0.0005417604654599252,0.691358024691358
LFU,5,0.0,0.0015041656593393798,0.691358024691358
LFU,6,0.0,0.001853999349013938,0.7037037037037037
LFU,7,0.0,0.0010546060311449614,0.7037037037037037
