Router,Closeness
Publisher1,0.18064516129032257
Publisher2,0.18064516129032257
Router1,0.09364548494983277
Router10,0.125
Router11,0.125
Router12,0.13145539906103287
Router13,0.13793103448275862
Router14,0.13793103448275862
Router15,0.14583333333333334
Router16,0.15217391304347827
Router17,0.15217391304347827
Router18,0.16184971098265896
Router19,0.16766467065868262
Router2,0.09364548494983277
Router20,0.16766467065868262
Router21,0.1794871794871795
Router22,0.18421052631578946
Router23,0.18421052631578946
Router24,0.19858156028368795
Router25,0.2014388489208633
Router26,0.2014388489208633
Router27,0.21875
Router3,0.09722222222222222
Router4,0.10294117647058823
Router5,0.10294117647058823
Router6,0.10727969348659004
Router7,0.11336032388663968
Router8,0.11336032388663968
Router9,0.11864406779661017
