Router,Betweenness
Publisher1,0.0
Publisher2,0.0
Router1,0.0
Router10,0.3968253968253968
Router11,0.3968253968253968
Router12,0.3968253968253968
Router13,0.5079365079365079
Router14,0.5079365079365079
Router15,0.5079365079365079
Router16,0.6084656084656084
Router17,0.6084656084656084
Router18,0.6084656084656084
Router19,0.6984126984126984
Router2,0.0
Router20,0.6984126984126984
Router21,0.6984126984126984
Router22,0.7777777777777777
Router23,0.7777777777777777
Router24,0.7777777777777777
Router25,0.8465608465608465
Router26,0.8465608465608465
Router27,1.4708994708994707
Router3,0.0
Router4,0.14285714285714285
Router5,0.14285714285714285
Router6,0.14285714285714285
Router7,0.2751322751322751
Router8,0.2751322751322751
Router9,0.2751322751322751
