Iteration,CHR_Without,CHR_With,HRR_Without,HRR_With,Latency_Without,Latency_With
1,0.0,0.0,0.7407407407407407,0.8399556071693945,0.0134212022509714,0.011623565486304596
2,0.0,0.0,0.7037037037037037,0.797957826810925,0.003021221046152,0.0026165584887156983
3,0.0,0.0,0.7037037037037037,0.797957826810925,0.0013445805122159,0.0011644873047211035
4,0.0,0.0,0.6851851851851851,0.77695893663169,0.0007884446316248,0.000682840302727191
5,0.0,0.0,0.6962962962962963,0.789558270739231,0.0012271532551918,0.0010627882626849878
6,0.0,0.0,0.691358024691358,0.7839585666914349,0.0015802511802989,0.0013685922270998446
7,0.0,0.0,0.691358024691358,0.7839585666914349,0.0012219560411619,0.0010582871638643878
8,0.0,0.0,0.691358024691358,0.7839585666914349,0.0013767214921097,0.0011923233195283867
9,0.0,0.0,0.691358024691358,0.7839585666914349,0.0008255664209904,0.0007149899970385651
10,0.0,0.0,0.691358024691358,0.7839585666914349,0.0010951054482506,0.0009484269482064095
11,0.0,0.0,0.691358024691358,0.7839585666914349,0.0001678512373517,0.0001453692309251602
12,0.0,0.0,0.691358024691358,0.7839585666914349,0.000487388408004,0.00042210757067536196
13,0.0,0.0,0.691358024691358,0.7839585666914349,0.0009369059695144,0.0008114167186752674
14,0.0,0.0,0.7037037037037036,0.7979578268109248,0.0006667214736892,0.0005774207530469945
15,0.0,0.0,0.6944444444444444,0.7874583817213074,0.0002504965832828,0.0002169450534636298
16,0.0,0.0,0.6944444444444444,0.7874583817213074,0.0001345044242007,0.00011648889225116714
17,0.0,0.0,0.691358024691358,0.7839585666914349,0.0003338042811088,0.00028909451243804474
18,0.0,0.0,0.6925925925925925,0.785358492703384,0.000294397667138,0.00025496602308829465
19,0.0,0.0,0.6925925925925925,0.785358492703384,7.945823985115162e-05,6.881559766894289e-05
20,0.0,0.0,0.6925925925925925,0.785358492703384,0.0005224449630061,0.0004524686482577862
21,0.0,0.0,0.6925925925925925,0.785358492703384,0.0002583645899399,0.0002237592187608455
22,0.0,0.0,0.6925925925925925,0.785358492703384,0.0005279759281531,0.0004572587955476066
23,0.0,0.0,0.6936026936026937,0.7865038867131605,0.000121041290499,0.00010482901161556625
24,0.0,0.0,0.6936026936026937,0.7865038867131605,0.0001175212777776,0.00010178046964334042
25,0.0,0.0,0.6936026936026937,0.7865038867131605,9.896688361906488e-05,8.571125233124525e-05
26,0.4672897196261681,0.5298785372330292,0.6936026936026937,0.7865038867131605,0.0001774592191916,0.00015369031900795246
27,0.4504504504504504,0.5107838151705778,0.6936026936026937,0.7865038867131605,0.0001119173875195,9.692716483688203e-05
28,0.4347826086956521,0.4930174215994272,0.6936026936026937,0.7865038867131605,9.394974379633236e-05,8.136610856595722e-05
29,0.4184100418410041,0.47445191199944875,0.6936026936026937,0.7865038867131605,0.0003678804778338,0.0003186065409993137
30,0.4016064257028112,0.45539761834485243,0.6936026936026937,0.7865038867131605,0.0003732913227998,0.0003232926570135471
31,0.392156862745098,0.44468238026615003,0.6936026936026937,0.7865038867131605,0.0001686048132075,0.00014602187277832615
32,0.7575757575757576,0.8590455073323354,0.6936026936026937,0.7865038867131605,6.102787879919654e-05,5.285380046048995e-05
33,0.7407407407407408,0.8399556071693947,0.6936026936026937,0.7865038867131605,0.0002260138969498,0.00019574157984399317
34,0.7142857142857143,0.8099571926276306,0.6936026936026937,0.7865038867131605,0.0002844394638191,0.00024634162221580255
35,0.6944444444444444,0.7874583817213074,0.6936026936026937,0.7865038867131605,8.652995494059963e-05,7.494012674656243e-05
