Router,Reach_raw,Reach_norm
Publisher1,8.186904761904762,0.47465639711366875
Publisher2,8.186904761904762,0.47465639711366875
Router1,5.305692346868819,0.0
Router10,7.23883893883894,0.3184702355330017
Router11,7.23883893883894,0.3184702355330017
Router12,7.386457986457988,0.3427892773789096
Router13,7.565029415029416,0.37220747316024955
Router14,7.565029415029416,0.37220747316024955
Router15,7.760267510267511,0.40437136721451467
Router16,7.883344433344433,0.424647292922269
Router17,7.883344433344433,0.424647292922269
Router18,8.156421356421356,0.4696345030863491
Router19,8.23975468975469,0.4833629944509746
Router2,5.305692346868819,0.0
Router20,8.23975468975469,0.4833629944509746
Router21,8.656421356421355,0.552005451274101
Router22,8.708369408369409,0.5605634718650367
Router23,8.708369408369409,0.5605634718650367
Router24,9.45079365079365,0.6828718494771535
Router25,9.47579365079365,0.6869903968865412
Router26,9.47579365079365,0.6869903968865412
Router27,11.37579365079365,1.0
Router3,5.383470124646596,0.012813258606983647
Router4,6.324646595234833,0.1678644551956942
Router5,6.324646595234833,0.1678644551956942
Router6,6.418600843600847,0.18334265624404636
Router7,6.856100843600846,0.2554172359083295
Router8,6.856100843600846,0.2554172359083295
Router9,6.972172272172274,0.27453906316620047
