Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2025-05-10 11:21:19,8,3,0.7,0.0,0.022305610580435425
2025-05-10 11:21:19,8,7,0.6499999999999999,0.0,0.010267582315020795
2025-05-10 11:21:19,8,9,0.6999999999999998,11.11111111111111,0.0017112714057922127
2025-05-10 11:21:19,7,12,0.7,8.333333333333332,0.005297885249691439
2025-05-10 11:21:19,7,14,0.72,7.142857142857142,0.0011874856434768032
2025-05-10 11:21:19,7,16,0.72,6.25,0.0029735690842587264
2025-05-10 11:21:19,6,19,0.72,5.263157894736842,0.0017628628394522105
2025-05-10 11:21:19,8,22,0.72,4.545454545454546,0.003952275930161611
2025-05-10 11:21:19,8,25,0.7166666666666667,4.0,0.0038663668350981586
2025-05-10 11:21:19,8,29,0.7,3.4482758620689653,0.003329830869039646
2025-05-10 11:21:19,7,33,0.7,3.0303030303030303,0.00265226734133159
2025-05-10 11:21:19,5,36,0.7,2.7777777777777777,0.0007246306557593909
2025-05-10 11:21:19,6,38,0.7,2.631578947368421,0.0014127915196262828
2025-05-10 11:21:19,8,42,0.7,2.380952380952381,0.0018542406970229494
2025-05-10 11:21:20,8,45,0.7,4.444444444444445,0.0019480166176598546
2025-05-10 11:21:20,7,49,0.7,4.081632653061225,0.0012638963850252227
2025-05-10 11:21:20,8,53,0.6875,3.7735849056603774,0.0017761371054000432
2025-05-10 11:21:20,7,57,0.6875,3.508771929824561,0.0015603301908739687
2025-05-10 11:21:20,8,61,0.6875,4.918032786885246,0.0005702966515063786
2025-05-10 11:21:20,8,63,0.6875,4.761904761904762,0.0014867301389862651
