Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2025-05-10 11:21:18,5,3,0.7,0.0,0.017195649258855854
2025-05-10 11:21:18,7,7,0.6499999999999999,0.0,0.007548987867641958
2025-05-10 11:21:18,7,11,0.6333333333333333,0.0,0.004058396599028611
2025-05-10 11:21:18,8,14,0.6499999999999999,0.0,0.004955511714968039
2025-05-10 11:21:18,7,17,0.6599999999999999,0.0,0.0027906319832967184
2025-05-10 11:21:18,6,19,0.6833333333333332,0.0,0.001017734623291767
2025-05-10 11:21:18,8,22,0.6833333333333332,0.0,0.0017819427822741507
2025-05-10 11:21:18,8,25,0.6833333333333332,0.0,0.00046534738107471027
2025-05-10 11:21:18,8,29,0.6833333333333332,0.0,0.002331947689310887
2025-05-10 11:21:18,7,32,0.6833333333333332,0.0,0.0017042295510620179
2025-05-10 11:21:18,7,35,0.6833333333333332,0.0,0.0014678382376613855
2025-05-10 11:21:18,8,38,0.6833333333333332,0.0,0.0026026351034320813
2025-05-10 11:21:18,7,41,0.6833333333333332,0.0,0.002025439731192675
2025-05-10 11:21:18,8,45,0.6714285714285715,0.0,0.0021698481758609116
2025-05-10 11:21:18,8,49,0.6714285714285715,0.0,0.0016122951933460435
2025-05-10 11:21:18,8,53,0.6714285714285715,0.0,0.0009732640301255555
2025-05-10 11:21:18,8,56,0.6714285714285715,0.0,0.0006948801696988433
2025-05-10 11:21:18,8,58,0.6714285714285715,0.0,0.001188970156672442
2025-05-10 11:21:18,7,62,0.6714285714285715,1.6129032258064515,0.0014672242736586054
2025-05-10 11:21:18,5,66,0.6714285714285715,1.5151515151515151,0.00027338707867814277
