Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2025-05-10 11:21:16,8,3,0.7,0.0,0.017438050940334814
2025-05-10 11:21:16,5,5,0.75,0.0,0.002540418596309787
2025-05-10 11:21:16,7,9,0.6999999999999998,0.0,0.010079931166755228
2025-05-10 11:21:16,7,12,0.7,0.0,0.005486383729564892
2025-05-10 11:21:16,8,16,0.6799999999999999,0.0,0.004993382013458924
2025-05-10 11:21:16,8,19,0.6799999999999999,0.0,0.004167286614496398
2025-05-10 11:21:16,7,22,0.6799999999999999,0.0,0.0017159674639125007
2025-05-10 11:21:16,7,26,0.6799999999999999,0.0,0.0026149064688664766
2025-05-10 11:21:16,8,29,0.6799999999999999,0.0,0.0029342569675992938
2025-05-10 11:21:16,7,32,0.6799999999999999,3.125,0.00044668273944967305
2025-05-10 11:21:16,7,35,0.6799999999999999,2.857142857142857,0.0006264482557015764
2025-05-10 11:21:16,6,38,0.6799999999999999,5.263157894736842,0.0023314552995323955
2025-05-10 11:21:16,8,41,0.6833333333333332,4.878048780487805,0.0020393703443998914
2025-05-10 11:21:16,8,44,0.6833333333333332,4.545454545454546,0.0020465320656144893
2025-05-10 11:21:16,8,46,0.7,4.3478260869565215,0.0013515776751399692
2025-05-10 11:21:16,8,49,0.7,6.122448979591836,0.0011675974323701872
2025-05-10 11:21:16,7,51,0.7,5.88235294117647,0.001642824897298567
2025-05-10 11:21:16,7,54,0.7,5.555555555555555,0.0007124548891144807
2025-05-10 11:21:16,7,56,0.7,7.142857142857142,0.0016873129657088033
2025-05-10 11:21:16,6,59,0.7,6.779661016949152,0.0006347147138241528
