Iteration,Policy,Content_Request,Router,Cache_Occupancy,CMBA_Score,Latency,Cache_Hit_Ratio,Ensemble_Score,Net_Performance,Closeness_Centrality,Degree_Centrality,Betweenness_Centrality
2,LRU,cat_image27.jpg,Router1,0.0,0.039495450785773364,0.046639666930140475,0.0,11.906506823572652,11.906506823572652,0.0931899641577061,0.038461538461538464,0.0
2,LRU,cat_image27.jpg,Router4,0.0,0.08455481526347669,0.05695591240399869,0.0,10.895630931135447,10.895630931135447,0.10236220472440945,0.07692307692307693,0.07692307692307693
2,LRU,cat_image27.jpg,Router7,0.0,0.11592007992007992,0.0590045042621304,0.0,11.244118584305225,11.244118584305225,0.11255411255411256,0.07692307692307693,0.14769230769230768
2,LRU,cat_image27.jpg,Router10,0.0,0.14514285714285716,0.07449810858397331,0.0,8.783887740285472,8.783887740285472,0.12380952380952381,0.07692307692307693,0.2123076923076923
2,LRU,cat_image27.jpg,Router13,0.0,0.1722223117196939,0.06947132902713272,0.0,10.477824186570292,10.477824186570292,0.13612565445026178,0.07692307692307693,0.27076923076923076
2,LRU,cat_image27.jpg,Router16,0.0,0.19713527851458887,0.07562814108786532,0.0,9.826045400595037,9.826045400595037,0.14942528735632185,0.07692307692307693,0.3230769230769231
2,LRU,cat_image27.jpg,Router19,0.0,0.21982583454281568,0.040908065908672374,0.0,17.499579435021147,17.499579435021147,0.16352201257861634,0.07692307692307693,0.36923076923076925
2,LRU,cat_image27.jpg,Router25,0.0,0.2580854700854701,0.09188683358115975,0.0,7.986293132956269,7.986293132956269,0.1925925925925926,0.07692307692307693,0.4430769230769231
2,LRU,cat_image27.jpg,Router27,13.333333333333334,0.37344322344322345,0.10398794353028853,0.0,9.665163883983158,9.665163883983158,0.20634920634920634,0.11538461538461539,0.6923076923076923
2,LRU,cat_image27.jpg,PATH_AVERAGE,1.4814814814814816,0.1784250357131088,0.06877561170170683,0.0,10.92056112426941,10.92056112426941,0.14221450650808343,0.07692307692307693,0.28170940170940173
